family_members,family_country,country_name,region,income
US5219732A,US,United States,Northern America,High income
US5874087A,US,United States,Northern America,High income
US6110466A,US,United States,Northern America,High income
US5731285A,US,United States,Northern America,High income
US4621061A,US,United States,Northern America,High income
US4673642A,US,United States,Northern America,High income
US5143844A,US,United States,Northern America,High income
US5156959A,US,United States,Northern America,High income
US5427788A,US,United States,Northern America,High income
US5785971A,US,United States,Northern America,High income
US5426200A,US,United States,Northern America,High income
US5548070A,US,United States,Northern America,High income
US5561231A,US,United States,Northern America,High income
US5705589A,US,United States,Northern America,High income
US5110735A,US,United States,Northern America,High income
US5275944A,US,United States,Northern America,High income
US5366884A,US,United States,Northern America,High income
US5432075A,US,United States,Northern America,High income
US5536655A,US,United States,Northern America,High income
US5712142A,US,United States,Northern America,High income
US6013860A,US,United States,Northern America,High income
US4880746A,US,United States,Northern America,High income
US4992371A,US,United States,Northern America,High income
US4918015A,US,United States,Northern America,High income
US4965207A,US,United States,Northern America,High income
US4963496A,US,United States,Northern America,High income
US5273894A,US,United States,Northern America,High income
US5276268A,US,United States,Northern America,High income
US5637489A,US,United States,Northern America,High income
US5879903A,US,United States,Northern America,High income
US5346818A,US,United States,Northern America,High income
US5336607A,US,United States,Northern America,High income
US5650310A,US,United States,Northern America,High income
US5668297A,US,United States,Northern America,High income
US5767370A,US,United States,Northern America,High income
US5767371A,US,United States,Northern America,High income
US5257629A,US,United States,Northern America,High income
US5359046A,US,United States,Northern America,High income
US5753439A,US,United States,Northern America,High income
US5792462A,US,United States,Northern America,High income
US6156558A,US,United States,Northern America,High income
US5316691A,US,United States,Northern America,High income
US5429766A,US,United States,Northern America,High income
US5672491A,US,United States,Northern America,High income
US5712146A,US,United States,Northern America,High income
US5830750A,US,United States,Northern America,High income
US5843718A,US,United States,Northern America,High income
US5962290A,US,United States,Northern America,High income
US6022731A,US,United States,Northern America,High income
US6066721A,US,United States,Northern America,High income
US6077696A,US,United States,Northern America,High income
US6080555A,US,United States,Northern America,High income
US6117659A,US,United States,Northern America,High income
US6146642A,US,United States,Northern America,High income
US5652138A,US,United States,Northern America,High income
US5658727A,US,United States,Northern America,High income
US5667988A,US,United States,Northern America,High income
US5679548A,US,United States,Northern America,High income
US5759817A,US,United States,Northern America,High income
US5804440A,US,United States,Northern America,High income
US5955341A,US,United States,Northern America,High income
US6096551A,US,United States,Northern America,High income
US5776359A,US,United States,Northern America,High income
US5959297A,US,United States,Northern America,High income
US5985356A,US,United States,Northern America,High income
US6004617A,US,United States,Northern America,High income
US6013199A,US,United States,Northern America,High income
US6030917A,US,United States,Northern America,High income
US6034775A,US,United States,Northern America,High income
US6045671A,US,United States,Northern America,High income
US6149919A,US,United States,Northern America,High income
US5270163A,US,United States,Northern America,High income
US5459015A,US,United States,Northern America,High income
US5472841A,US,United States,Northern America,High income
US5475096A,US,United States,Northern America,High income
US5476766A,US,United States,Northern America,High income
US5496938A,US,United States,Northern America,High income
US5503978A,US,United States,Northern America,High income
US5527894A,US,United States,Northern America,High income
US5543293A,US,United States,Northern America,High income
US5567588A,US,United States,Northern America,High income
US5580737A,US,United States,Northern America,High income
US5587468A,US,United States,Northern America,High income
US5595877A,US,United States,Northern America,High income
US5622828A,US,United States,Northern America,High income
US5629155A,US,United States,Northern America,High income
US5635615A,US,United States,Northern America,High income
US5637459A,US,United States,Northern America,High income
US5637461A,US,United States,Northern America,High income
US5637682A,US,United States,Northern America,High income
US5639868A,US,United States,Northern America,High income
US5641629A,US,United States,Northern America,High income
US5648214A,US,United States,Northern America,High income
US5650275A,US,United States,Northern America,High income
US5654151A,US,United States,Northern America,High income
US5660985A,US,United States,Northern America,High income
US5668264A,US,United States,Northern America,High income
US5670637A,US,United States,Northern America,High income
US5674685A,US,United States,Northern America,High income
US5683867A,US,United States,Northern America,High income
US5686592A,US,United States,Northern America,High income
US5688935A,US,United States,Northern America,High income
US5693502A,US,United States,Northern America,High income
US5696249A,US,United States,Northern America,High income
US5705337A,US,United States,Northern America,High income
US5707796A,US,United States,Northern America,High income
US5712375A,US,United States,Northern America,High income
US5723289A,US,United States,Northern America,High income
US5723592A,US,United States,Northern America,High income
US5723594A,US,United States,Northern America,High income
US5726017A,US,United States,Northern America,High income
US5731144A,US,United States,Northern America,High income
US5731424A,US,United States,Northern America,High income
US5734034A,US,United States,Northern America,High income
US5750342A,US,United States,Northern America,High income
US5756287A,US,United States,Northern America,High income
US5763173A,US,United States,Northern America,High income
US5763177A,US,United States,Northern America,High income
US5763566A,US,United States,Northern America,High income
US5763595A,US,United States,Northern America,High income
US5766853A,US,United States,Northern America,High income
US5773598A,US,United States,Northern America,High income
US5780228A,US,United States,Northern America,High income
