priority_long_first_filing, priority_long_first_filing_citingcount, Publication Number, Title (English), applicant_cleaned
"US2005696158P 2005-06-30","19","US20070004041A1","Heirarchical assembly methods for genome engineering","CODON DEVICES INC"
"US2009261106P 2009-11-13","1","US20110257041A1","BIO-FIELD PROGRAMMABLE GATE ARRAY AND BIO-PROGRAMMABLE LOGIC ARRAY: RECONFIGURABLE CHASSIS CONSTRUCTION","MASSACHUSETTS INST TECHNOLOGY"
"US2006862893P 2006-10-25","7","US8153432B2","MULTIPLEX AUTOMATED GENOME ENGINEERING","HARVARD COLLEGE"
"WO2007IB849A 2007-02-01","34","WO2008093249A2","Obligate heterodimer meganucleases and uses thereof","CELLECTIS"
"US2011506314P 2011-07-11","2","WO2013009825A1","METHODS FOR CELL REPROGRAMMING AND GENOME ENGINEERING","CELLULAR DYNAMICS INT INC"
"US2004628211P 2004-11-16","2","US20070243616A1","IN VIVO ALTERATION OF CELLULAR DNA","HARVARD COLLEGE"
"DK201370295A 2013-05-29","2","US20160122774A1","A METHOD FOR PRODUCING PRECISE DNA CLEAVAGE USING CAS9 NICKASE ACTIVITY","CELLECTIS"
"US2013831481P 2013-06-05","7","US20160201089A1","RNA-GUIDED GENE EDITING AND GENE REGULATION","UNIV DUKE"
"US2003442911P 2003-01-28","0","US8697395B2","Use of meganucleases for inducing homologous recombination ex vivo and in toto in vertebrate somatic tissues and application thereof","CELLECTIS"
"WO2005IB981A 2005-03-15","0","US8715992B2","I-CreI meganuclease variants with modified specificity, method of preparation and uses thereof","CELLECTIS"
"US2011439739P 2011-02-04","2","US9044492B2","Method for modulating the efficiency of double-strand break-induced mutagenesis","CELLECTIS"
"WO2009IB6039A 2009-05-26","2","WO2010136981A2","MEGANUCLEASE VARIANTS CLEAVING THE GENOME OF A PATHOGENIC NON-INTEGRATING VIRUS AND USES THEREOF","CELLECTIS"
"US2010333987P 2010-05-12","11","WO2011141820A1","MEGANUCLEASE VARIANTS CLEAVING A DNA TARGET SEQUENCE FROM THE DYSTROPHIN GENE AND USES THEREOF","CELLECTIS"
"US2010354923P 2010-06-15","2","WO2012001527A2","METHOD FOR IMPROVING CLEAVAGE OF DNA BY ENDONUCLEASE SENSITIVE TO METHYLATION","CELLECTIS"
"US2010407339P 2010-10-27","18","WO2012058458A2","METHOD FOR INCREASING THE EFFICIENCY OF DOUBLE-STRAND BREAK-INDUCED MUTAGENESIS","CELLECTIS"
"US2012733956P 2012-12-06","16","WO2014089533A2","ALGAL MUTANTS HAVING A LOCKED-IN HIGH LIGHT ACCLIMATED PHENOTYPE","SYNTHETIC GENOMICS INC"
