isi_unique_article_identifier, doi, authors_raw, authors_clean, authors_excluded, title, publication_year
"000230344200002","10.1016/j.ijmm.2005.03.004","Hacker, J; Hammerschmidt, S; Klenk, HD","Hacker Jörg; Hammerschmidt, S; Klenk Hans Dieter","","Threat of infection: Microbes of high pathogenic potential - strategies for detection, control and eradication","2005"
"000229908601443","10.1118/1.1998536","Doumani, C; Doumani, R; Montemagno, C","Doumani, C; Doumani, R; Montemagno, CD","","NEXGEN restorative health care thru synthetic biology and nanoscience","2005"
"000228960500046","10.1016/j.bbrc.2005.03.168","Hiratsuka, Y; Miyata, M; Uyeda, TQP","Hiratsuka Yuichi; Miyata, M; Uyeda, TQP","","Living microtransporter by uni-directional gliding of Mycoplasma along microtracks","2005"
"000229292200004","10.1073/pnas.0403790102","Lipan, O; Wong, WH","Lipan, Ovidiu; Wong, WH","","The use of oscillatory signals in the study of genetic networks","2005"
"000227712900027","","Jaffe, S","Jaffe, Stephen","","In the business of synthetic life","2005"
"000227657800008","10.1016/j.febslet.2005.02.013","Linding, R; Pawson, T","Linding, R; Pawson Tony","","Synthetic modular systems - reverse engineering of signal transduction","2005"
"000227635400003","10.1038/nbt0305-270","Herrera, S","Herrera, S","Herrera, S","Synthetic biology offers alternative pathways to natural products","2005"
"000227143400001","10.1016/j.molcel.2005.02.005","Benner, SA; Ricardo, A","Benner Steven A; Ricardo, A","","Planetary systems biology","2005"
"000227073100013","10.1073/pnas.0406841102","Arkin, AP; Plyasunov, S; Samoilov, M","Arkin Adam P.; Plyasunov, S; Samoilov, M","","Stochastic amplification and signaling in enzymatic futile cycles through noise-induced bistability with oscillations","2005"
"000236376100053","","Chang, CH; Chang, YF; Chen, CY; Chen, HW; Lin, IH; Lin, YH; Luo, WX; Yang, CH","Chang, CH; Chang, Yi-Feng; Chen, CY; Chen, HW; Lin, IH; Lin, YH; Luo, WX; Yang, CH","","Bioinformatics analysis for genome design and synthetic biology","2005"
"000231947705121","10.1109/ACC.2005.1470689","Del Vecchio, D; El Samad, H; Khammash, A","Del Vecchio, Domitilla; El-Samad, Hana; Khammash, A","","Repressilators and promotilators: Loop dynamics in synthetic gene networks","2005"
"000230096800028","10.1002/anie.200500152","Anselmetti, D; Becker, A; Eckel, R; Ros, R; Sewald, N; Wilking, SD","Anselmetti Dario; Becker, A; Eckel, R; Ros, R; Sewald, N; Wilking, SD","","Single-molecule experiments in synthetic biology: An approach to the affinity ranking of DNA-binding peptides","2005"
"000230894100016","10.1196/annals.1349.017","Lemischka, IR","Lemischka Ihor","","Stem cell biology: A view toward the future","2005"
"000225889000007","10.1039/b410743h","Aghdam, N; Hung, PJ; Lee, LP; Lee, PJ; Lin, R; Sabounchi, P","Aghdam, N; Hung Paul Ju Sung; Lee, Luke P; Lee, Philip J; Lin, R; Sabounchi Poorya","","A novel high aspect ratio microfluidic design to provide a stable and uniform microenvironment for cell growth in a high throughput mammalian cell culture array","2005"
"000273828700004","","Andersen, Tim; Crowley, Bill; Davis, Robert; Eoff, Ullysses; Menten, Tom; Otter, Tim; Petschulat, Cap","Andersen Timothy L.; Crowley William L.; Davis, Robert; Eoff Ullysses A.; Menten, Tom; Otter Timothy; Petschulat, Cap","","A Biologically Derived Approach to Tissue Modeling","2005"
"000243244500019","10.1038/msb4100025","Chan, Leon Y; Endy, Drew; Kosuri, Sriram","Chan, Leon Y; Endy, Drew; Kosuri, Sriram","","Refactoring bacteriophage T7","2005"
